Date,Inflation Change
2010-01,101.1
2010-02,101
2010-03,100.8
2010-04,101.1
2010-05,100.4
2010-06,99.3
2010-07,99.2
2010-08,100.4
2010-09,100.5
2010-10,101
2010-11,100.8
2010-12,101.1
2011-01,100.9
2011-02,100.9
2011-03,100.8
2011-04,101
2011-05,100.2
2011-06,99.6
2011-07,99.4
2011-08,100.6
2011-09,100.8
2011-10,101.1
2011-11,100.9
2011-12,101
2012-01,100.9
2012-02,101
2012-03,100.8
2012-04,101
2012-05,100.3
2012-06,99.3
2012-07,99.4
2012-08,99.7
2012-09,100.9
2012-10,101.2
2012-11,101
2012-12,101.2
2013-01,101
2013-02,101
2013-03,100.7
2013-04,101
2013-05,100.3
2013-06,99.4
2013-07,98.8
2013-08,100
2013-09,101
2013-10,101.1
2013-11,101
2013-12,101.1
2014-01,101
2014-02,100.9
2014-03,100.6
2014-04,100.8
2014-05,100.2
2014-06,99.6
2014-07,98.9
2014-08,99.9
2014-09,101
2014-10,101
2014-11,101
2014-12,101
2015-01,100.8
2015-02,100.8
2015-03,100.5
2015-04,100.7
2015-05,100.3
2015-06,99.5
2015-07,98.8
2015-08,99.8
2015-09,101
2015-10,101
2015-11,101.1
2015-12,101.1
2016-01,100.8
2016-02,100.8
2016-03,100.4
2016-04,100.7
2016-05,100.3
2016-06,99.5
2016-07,98.8
2016-08,99.8
2016-09,101.1
2016-10,101.1
2016-11,101.1
2016-12,101.2
2017-01,100.8
2017-02,101.1
2017-03,100.9
2017-04,101
2017-05,100.9
2017-06,100.3
2017-07,100.4
2017-08,100.6
2017-09,101.4
2017-10,101.3
2017-11,102
2017-12,102.7
2018-01,102.7
2018-02,101.1
2018-03,101.1
2018-04,100.9
2018-05,100.8
2018-06,99.6
2018-07,99.7
2018-08,100.3
2018-09,101.8
2018-10,101.3
2018-11,102.3
2018-12,102.1
2019-01,101.5
2019-02,101.6
2019-03,101.2
2019-04,100.9
2019-05,100.7
2019-06,99.5
2019-07,99.6
2019-08,102.9
2019-09,101.3
2019-10,101.5
2019-11,101.7
2019-12,101.7
2020-01,100.6
2020-02,100.8
2020-03,101.3
2020-04,101.7
2020-05,100.3
2020-06,99.8
2020-07,99.7
2020-08,100.5
2020-09,101.4
2020-10,101.4
2020-11,101.5
2020-12,101.6
2021-01,101
2021-02,100.6
2021-03,100.8
2021-04,101.5
2021-05,100.5
2021-06,99.8
2021-07,99.8
2021-08,100.5
2021-09,101.1
2021-10,101.3
2021-11,101.2
2021-12,101.3
2022-01,100.9
2022-02,100.5
2022-03,101.5
2022-04,101.5
2022-05,101
2022-06,100.9
2022-07,99.9
2022-08,100.5
2022-09,101
2022-10,101.2
2022-11,101.3
2022-12,101.2
2023-01,100.8
2023-02,100.5
2023-03,101
2023-04,100.8
2023-05,100.5
2023-06,99.7
2023-07,99.8
2023-08,100.5
2023-09,101.2
2023-10,101
2023-11,101.1
2023-12,101.2
2024-01,100.6
2024-02,100.3
2024-03,100.7
2024-04,100.9
2024-05,102.8
2024-06,99.8
2024-07,99.7
2024-08,100.5
2024-09,101.2
2024-10,100.8
